sku,product_name,thai_name,grade_band,target,purpose,positioning,core_hook,primary_offer,channels,launch_priority,claim_safety
BK-LS-MIX-EASY-01,มัธยมต้น Mixed Sudoku Pack EASY,ซูโดกุ มัธยมต้น แบบผสม ระดับ EASY,มัธยมต้น,นักเรียนมัธยมต้น / ผู้เล่นจริงจัง / ครูผู้ฝึกซ้อม / ชมรม,ฝึกความเร็ว ความแม่น และตรรกะหลายขั้นด้วย 9x9 และ logic constraints ในระดับ EASY,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมต้น ระดับ EASY,เริ่มซูโดกุอย่างมั่นใจสำหรับมัธยมต้น ด้วยโจทย์ผสม 500 ข้อในระดับง่าย,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",A,"No official claim, no real exam claim, no guaranteed winning claim"
BK-LS-MIX-MEDIUM-01,มัธยมต้น Mixed Sudoku Pack MEDIUM,ซูโดกุ มัธยมต้น แบบผสม ระดับ MEDIUM,มัธยมต้น,นักเรียนมัธยมต้น / ผู้เล่นจริงจัง / ครูผู้ฝึกซ้อม / ชมรม,ฝึกความเร็ว ความแม่น และตรรกะหลายขั้นด้วย 9x9 และ logic constraints ในระดับ MEDIUM,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมต้น ระดับ MEDIUM,ฝึกต่อเนื่องให้คล่องขึ้นสำหรับมัธยมต้น ด้วยซูโดกุหลายรูปแบบระดับกลาง,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-LS-MIX-HARD-01,มัธยมต้น Mixed Sudoku Pack HARD,ซูโดกุ มัธยมต้น แบบผสม ระดับ HARD,มัธยมต้น,นักเรียนมัธยมต้น / ผู้เล่นจริงจัง / ครูผู้ฝึกซ้อม / ชมรม,ฝึกความเร็ว ความแม่น และตรรกะหลายขั้นด้วย 9x9 และ logic constraints ในระดับ HARD,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมต้น ระดับ HARD,ยกระดับความท้าทายสำหรับมัธยมต้น ด้วยโจทย์ผสมระดับยาก 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",A,"No official claim, no real exam claim, no guaranteed winning claim"
BK-LS-MIX-EXPERT-01,มัธยมต้น Mixed Sudoku Pack EXPERT,ซูโดกุ มัธยมต้น แบบผสม ระดับ EXPERT,มัธยมต้น,นักเรียนมัธยมต้น / ผู้เล่นจริงจัง / ครูผู้ฝึกซ้อม / ชมรม,ฝึกความเร็ว ความแม่น และตรรกะหลายขั้นด้วย 9x9 และ logic constraints ในระดับ EXPERT,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมต้น ระดับ EXPERT,ฝึกตรรกะเข้มข้นสำหรับมัธยมต้น ด้วยซูโดกุหลายรูปแบบระดับ Expert,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-LS-MIX-DEVIL-01,มัธยมต้น Mixed Sudoku Pack DEVIL,ซูโดกุ มัธยมต้น แบบผสม ระดับ DEVIL,มัธยมต้น,นักเรียนมัธยมต้น / ผู้เล่นจริงจัง / ครูผู้ฝึกซ้อม / ชมรม,ฝึกความเร็ว ความแม่น และตรรกะหลายขั้นด้วย 9x9 และ logic constraints ในระดับ DEVIL,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมต้น ระดับ DEVIL,ท้าทายระดับสูงสุดสำหรับมัธยมต้น ด้วยซูโดกุผสม 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-US-MIX-EASY-01,มัธยมปลาย Mixed Sudoku Pack EASY,ซูโดกุ มัธยมปลาย แบบผสม ระดับ EASY,มัธยมปลาย,นักเรียนมัธยมปลาย / ผู้เล่นขั้นสูง / ทีมแข่งขัน / ผู้ใหญ่สาย puzzle,ฝึก advanced variants เพื่อความอึดทางตรรกะ การคิดหลายชั้น และเตรียมแข่งขันระดับสูง ในระดับ EASY,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมปลาย ระดับ EASY,เริ่มซูโดกุอย่างมั่นใจสำหรับมัธยมปลาย ด้วยโจทย์ผสม 500 ข้อในระดับง่าย,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",A,"No official claim, no real exam claim, no guaranteed winning claim"
BK-US-MIX-MEDIUM-01,มัธยมปลาย Mixed Sudoku Pack MEDIUM,ซูโดกุ มัธยมปลาย แบบผสม ระดับ MEDIUM,มัธยมปลาย,นักเรียนมัธยมปลาย / ผู้เล่นขั้นสูง / ทีมแข่งขัน / ผู้ใหญ่สาย puzzle,ฝึก advanced variants เพื่อความอึดทางตรรกะ การคิดหลายชั้น และเตรียมแข่งขันระดับสูง ในระดับ MEDIUM,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมปลาย ระดับ MEDIUM,ฝึกต่อเนื่องให้คล่องขึ้นสำหรับมัธยมปลาย ด้วยซูโดกุหลายรูปแบบระดับกลาง,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-US-MIX-HARD-01,มัธยมปลาย Mixed Sudoku Pack HARD,ซูโดกุ มัธยมปลาย แบบผสม ระดับ HARD,มัธยมปลาย,นักเรียนมัธยมปลาย / ผู้เล่นขั้นสูง / ทีมแข่งขัน / ผู้ใหญ่สาย puzzle,ฝึก advanced variants เพื่อความอึดทางตรรกะ การคิดหลายชั้น และเตรียมแข่งขันระดับสูง ในระดับ HARD,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมปลาย ระดับ HARD,ยกระดับความท้าทายสำหรับมัธยมปลาย ด้วยโจทย์ผสมระดับยาก 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-US-MIX-EXPERT-01,มัธยมปลาย Mixed Sudoku Pack EXPERT,ซูโดกุ มัธยมปลาย แบบผสม ระดับ EXPERT,มัธยมปลาย,นักเรียนมัธยมปลาย / ผู้เล่นขั้นสูง / ทีมแข่งขัน / ผู้ใหญ่สาย puzzle,ฝึก advanced variants เพื่อความอึดทางตรรกะ การคิดหลายชั้น และเตรียมแข่งขันระดับสูง ในระดับ EXPERT,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมปลาย ระดับ EXPERT,ฝึกตรรกะเข้มข้นสำหรับมัธยมปลาย ด้วยซูโดกุหลายรูปแบบระดับ Expert,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",B,"No official claim, no real exam claim, no guaranteed winning claim"
BK-US-MIX-DEVIL-01,มัธยมปลาย Mixed Sudoku Pack DEVIL,ซูโดกุ มัธยมปลาย แบบผสม ระดับ DEVIL,มัธยมปลาย,นักเรียนมัธยมปลาย / ผู้เล่นขั้นสูง / ทีมแข่งขัน / ผู้ใหญ่สาย puzzle,ฝึก advanced variants เพื่อความอึดทางตรรกะ การคิดหลายชั้น และเตรียมแข่งขันระดับสูง ในระดับ DEVIL,หนังสือฝึกซูโดกุหลายรูปแบบสำหรับมัธยมปลาย ระดับ DEVIL,ท้าทายระดับสูงสุดสำหรับมัธยมปลาย ด้วยซูโดกุผสม 500 ข้อ,PDF + POD-ready workbook,"Facebook/LINE OA, กลุ่ม puzzle/คณิต, marketplace, คอนเทนต์ challenge รายสัปดาห์",B,"No official claim, no real exam claim, no guaranteed winning claim"
CP-EL-NAT-COMP-01,ประถมต้น National Competition Sudoku Pack Custom,ซูโดกุเตรียมแข่งขันระดับประเทศ ประถมต้น Custom,ประถมต้น,นักเรียนประถมต้น / ผู้เริ่มต้น / ผู้ปกครอง / ครูประถม / โรงเรียน / ทีมแข่งขัน,เตรียมตัวแข่งขันระดับประเทศด้วยซูโดกุชนิดที่เกี่ยวข้องครบและระดับความยากครบทุกระดับ,ชุดฝึกเตรียมแข่งขันระดับประเทศสำหรับประถมต้น แบบ custom,เตรียมประถมต้นให้พร้อมสนามแข่งขัน ด้วยชุดฝึก 500 ข้อ ครบหลายชนิดและทุกระดับความยาก,Custom competition training PDF + optional POD,"Facebook/LINE OA สำหรับครูและผู้ปกครอง, กลุ่มโรงเรียน/ชมรม, landing page custom order, โพสต์ตัวอย่างโจทย์และฟอร์มสั่งทำ",A,"No official claim, no real exam claim, no guaranteed winning claim"
CP-UP-NAT-COMP-01,ประถมปลาย National Competition Sudoku Pack Custom,ซูโดกุเตรียมแข่งขันระดับประเทศ ประถมปลาย Custom,ประถมปลาย,นักเรียนประถมปลาย / เด็กโต / ผู้ปกครอง / ครูคณิต / โรงเรียน / ทีมแข่งขัน,เตรียมตัวแข่งขันระดับประเทศด้วยซูโดกุชนิดที่เกี่ยวข้องครบและระดับความยากครบทุกระดับ,ชุดฝึกเตรียมแข่งขันระดับประเทศสำหรับประถมปลาย แบบ custom,เตรียมประถมปลายให้พร้อมสนามแข่งขัน ด้วยชุดฝึก 500 ข้อ ครบหลายชนิดและทุกระดับความยาก,Custom competition training PDF + optional POD,"Facebook/LINE OA สำหรับครูและผู้ปกครอง, กลุ่มโรงเรียน/ชมรม, landing page custom order, โพสต์ตัวอย่างโจทย์และฟอร์มสั่งทำ",A,"No official claim, no real exam claim, no guaranteed winning claim"
CP-LS-NAT-COMP-01,มัธยมต้น National Competition Sudoku Pack Custom,ซูโดกุเตรียมแข่งขันระดับประเทศ มัธยมต้น Custom,มัธยมต้น,นักเรียนมัธยมต้น / ผู้เล่นจริงจัง / ครูผู้ฝึกซ้อม / ชมรม / โรงเรียน / ทีมแข่งขัน,เตรียมตัวแข่งขันระดับประเทศด้วยซูโดกุชนิดที่เกี่ยวข้องครบและระดับความยากครบทุกระดับ,ชุดฝึกเตรียมแข่งขันระดับประเทศสำหรับมัธยมต้น แบบ custom,เตรียมมัธยมต้นให้พร้อมสนามแข่งขัน ด้วยชุดฝึก 500 ข้อ ครบหลายชนิดและทุกระดับความยาก,Custom competition training PDF + optional POD,"Facebook/LINE OA สำหรับครูและผู้ปกครอง, กลุ่มโรงเรียน/ชมรม, landing page custom order, โพสต์ตัวอย่างโจทย์และฟอร์มสั่งทำ",A,"No official claim, no real exam claim, no guaranteed winning claim"
CP-US-NAT-COMP-01,มัธยมปลาย National Competition Sudoku Pack Custom,ซูโดกุเตรียมแข่งขันระดับประเทศ มัธยมปลาย Custom,มัธยมปลาย,นักเรียนมัธยมปลาย / ผู้เล่นขั้นสูง / ทีมแข่งขัน / ผู้ใหญ่สาย puzzle / โรงเรียน / ทีมแข่งขัน,เตรียมตัวแข่งขันระดับประเทศด้วยซูโดกุชนิดที่เกี่ยวข้องครบและระดับความยากครบทุกระดับ,ชุดฝึกเตรียมแข่งขันระดับประเทศสำหรับมัธยมปลาย แบบ custom,เตรียมมัธยมปลายให้พร้อมสนามแข่งขัน ด้วยชุดฝึก 500 ข้อ ครบหลายชนิดและทุกระดับความยาก,Custom competition training PDF + optional POD,"Facebook/LINE OA สำหรับครูและผู้ปกครอง, กลุ่มโรงเรียน/ชมรม, landing page custom order, โพสต์ตัวอย่างโจทย์และฟอร์มสั่งทำ",A,"No official claim, no real exam claim, no guaranteed winning claim"
